City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Tilichiki,RU,2020-02-20 04:40:59,60.47,166.1,-18.4,87,0,8.03
215,Bozhou,CN,2020-02-20 04:40:59,33.88,115.77,58.95,38,33,5.44
216,Antofagasta,CL,2020-02-20 04:41:00,-23.65,-70.4,68.0,82,90,4.7
217,Harper,LR,2020-02-20 04:41:00,4.38,-7.72,76.21,95,50,2.57
218,Fort Nelson,CA,2020-02-20 04:41:00,58.81,-122.7,8.6,92,20,1.34
219,Nicoya,CR,2020-02-20 04:41:01,10.15,-85.45,84.2,58,57,17.22
220,Tohana,IN,2020-02-20 04:41:01,29.7,75.9,76.93,29,1,14.83
221,Shaowu,CN,2020-02-20 04:41:01,27.34,117.48,61.75,48,0,4.54
222,Moron,AR,2020-02-20 04:40:54,-34.65,-58.62,68.0,63,20,11.41
223,Medenychi,UA,2020-02-20 04:41:02,49.43,23.75,36.0,93,75,8.95
224,Tecalitlan,MX,2020-02-20 04:41:02,19.47,-103.3,61.2,72,0,2.3
225,Vila Franca Do Campo,PT,2020-02-20 04:41:02,37.72,-25.43,53.6,62,20,17.22
226,Mlonggo,ID,2020-02-20 04:41:02,-6.53,110.7,84.99,83,40,8.05
227,Bonthe,SL,2020-02-20 04:41:03,7.53,-12.51,77.94,91,48,5.19
228,Carnot,CF,2020-02-20 04:41:03,4.94,15.87,68.68,36,55,1.28
229,Witbank,ZA,2020-02-20 04:41:03,-25.87,29.23,64.13,86,79,5.95
230,Gelibolu,TR,2020-02-20 04:40:05,40.41,26.67,46.4,75,75,5.82
231,Harnosand,SE,2020-02-20 04:41:04,62.63,17.94,21.2,92,84,4.7
232,Aksarka,RU,2020-02-20 04:41:04,66.56,67.8,23.09,92,87,2.28
233,Teloes,PT,2020-02-20 04:41:04,41.31,-8.11,46.0,100,0,3.36
234,Ponta Do Sol,PT,2020-02-20 04:41:05,32.67,-17.1,60.8,59,40,9.17
235,Nianzishan,CN,2020-02-20 04:41:05,47.52,122.88,18.54,72,17,2.82
236,Beyneu,KZ,2020-02-20 04:41:05,45.32,55.2,37.65,43,100,14.41
237,Suntar,RU,2020-02-20 04:41:05,62.14,117.63,13.46,86,100,6.8
238,Hami,CN,2020-02-20 04:39:04,42.8,93.45,30.97,42,95,7.34
239,Wattegama,LK,2020-02-20 04:41:06,6.8,81.48,84.2,74,20,13.87
240,Ayagoz,KZ,2020-02-20 04:41:06,47.97,80.44,19.04,92,100,6.53
241,Atar,MR,2020-02-20 04:41:06,20.52,-13.05,66.6,16,0,10.0
242,Tirumullaivasal,IN,2020-02-20 04:41:07,11.23,79.83,79.25,67,1,11.25
243,Mareeba,AU,2020-02-20 04:41:07,-17.0,145.43,93.99,55,92,8.05
244,Magadan,RU,2020-02-20 04:41:07,59.57,150.8,-1.8,73,0,1.5
245,Kuytun,RU,2020-02-20 04:41:07,54.34,101.5,21.88,78,100,4.52
246,Tessalit,ML,2020-02-20 04:41:08,20.2,1.01,62.4,16,11,13.65
247,La Union,PE,2020-02-20 04:41:08,-5.4,-80.75,79.36,62,34,7.87
248,Eregli,TR,2020-02-20 04:41:08,37.51,34.05,38.8,52,1,2.51
249,Bekhtery,UA,2020-02-20 04:41:08,46.25,32.29,37.0,100,12,6.71
250,Bafq,IR,2020-02-20 04:41:09,31.61,55.41,65.55,36,100,5.79
251,Rawson,AR,2020-02-20 04:40:09,-43.3,-65.1,59.45,54,0,20.2
252,Ketrzyn,PL,2020-02-20 04:41:09,54.08,21.38,37.02,90,99,8.84
253,Antalaha,MG,2020-02-20 04:41:09,-14.9,50.28,81.75,74,37,6.8
254,Amla,IN,2020-02-20 04:41:10,21.93,78.12,83.95,25,0,14.79
255,Abnub,EG,2020-02-20 04:41:10,27.27,31.15,52.36,73,0,4.16
256,Prieska,ZA,2020-02-20 04:41:10,-29.66,22.75,73.76,65,0,3.51
257,Pundaguitan,PH,2020-02-20 04:41:10,6.37,126.17,80.69,67,3,2.59
258,Torbay,CA,2020-02-20 04:41:11,47.67,-52.73,30.0,79,40,32.21
259,Samarai,PG,2020-02-20 04:41:11,-10.62,150.67,87.75,59,100,4.32
