City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
202,Bambous Virieux,MU,78.01,-20.34,57.76,shower rain,Casa Tia Villa
203,Lyuban,BY,36.61,52.8,28.0,broken clouds,
204,Petropavlovsk-Kamchatskiy,RU,17.6,53.05,158.65,broken clouds,"ООО ""Гостиничный комплекс ""Петропавловск"""
206,Bol,TD,80.26,13.46,14.71,scattered clouds,Hotel 3 Etoiles
207,Arlit,NE,78.31,18.74,7.39,broken clouds,Hôtel Telwa Bungalow
208,Maltahohe,,79.38,-24.83,16.98,overcast clouds,Hotel Maltahöhe
209,Aksha,RU,6.1,50.28,113.29,clear sky,
210,Loukhi,RU,32.88,66.08,33.04,overcast clouds,Хостел Северяночка
211,Price,US,39.0,39.6,-110.81,overcast clouds,National 9 - Price River Inn
212,Noumea,NC,80.01,-22.28,166.46,broken clouds,Hôtel Le Lagon
213,Habiganj,BD,65.79,24.38,91.42,few clouds,ADC Quarter
214,Chake Chake,TZ,84.61,-5.25,39.77,broken clouds,Hotel Archipelago
217,Namatanai,PG,83.73,-3.67,152.43,broken clouds,Namatanai Hotel
219,Salalah,OM,77.0,17.02,54.09,clear sky,HAMDAN PLAZA HOTEL
220,Colotlan,MX,75.72,22.1,-103.27,clear sky,Hotel Hacienda de los Galvez
221,Banda Aceh,ID,73.83,5.56,95.32,clear sky,OYO 884 Rumoh PMI Hotel
223,Maragogi,BR,82.22,-9.01,-35.22,few clouds,Salinas do Maragogi All Inclusive Resort
224,Kaitangata,NZ,55.99,-46.28,169.85,overcast clouds,Kaitangata Motor Camp
225,Byron Bay,AU,70.0,-28.65,153.62,light rain,Backpackers Inn on the Beach
226,Norman Wells,CA,5.0,65.28,-126.83,light snow,Heritage Hotel
228,Juybar,IR,51.8,36.64,52.91,mist,مجتمع مسکونی رز
229,Kavaratti,IN,82.09,10.57,72.64,overcast clouds,Hotels in Lakshadweep Islands
230,Port Keats,AU,84.79,-14.25,129.55,scattered clouds,TDC Village (Hundred Man Camp)
231,Maoming,CN,63.99,21.65,110.9,clear sky,Jinhui Hotel
232,Mount Isa,AU,80.6,-20.73,139.5,overcast clouds,ibis Styles Mt Isa Verona
233,Mogadishu,SO,80.87,2.04,45.34,few clouds,Hotel Juba
234,Aswan,EG,62.73,24.09,32.91,overcast clouds,Nuba Nile
236,Katsuura,JP,44.6,35.13,140.3,few clouds,Katsuura Hotel Mikazuki
237,Nizhnyaya Omka,RU,3.34,55.43,74.94,overcast clouds,
238,Batemans Bay,AU,64.99,-35.72,150.18,broken clouds,Coachhouse Marina Resort - Batemans Bay
240,Phuket,TH,80.6,8.0,98.25,few clouds,The Surin Phuket
241,Black River,JM,84.2,18.03,-77.85,scattered clouds,Idlers' Rest Beach Hotel
242,Lazaro Cardenas,MX,83.68,17.96,-102.2,clear sky,Hotel Quinta Antigua
243,Taicheng,CN,38.52,38.73,113.23,broken clouds,五台山康旅酒店
