City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snow inches (last 3 hours),Rain inches (last 3 hours)
138,Miyako,JP,2020-02-23 17:56:32,39.64,141.95,32.95,55,0,0.85,clear sky,0.0,0.0
139,Palmer,US,2020-02-23 17:56:32,42.16,-72.33,54.0,29,20,8.05,few clouds,0.0,0.0
140,Aksu,CN,2020-02-23 17:56:33,41.12,80.26,39.38,44,100,5.48,overcast clouds,0.0,0.0
141,Camacupa,AO,2020-02-23 17:56:33,-12.02,17.48,66.67,95,100,4.47,moderate rain,0.0,6.5
142,Dikson,RU,2020-02-23 17:56:33,73.51,80.55,30.27,95,100,27.36,snow,1.75,0.0
143,New Norfolk,AU,2020-02-23 17:56:34,-42.78,147.06,57.2,76,97,2.24,overcast clouds,0.0,0.0
144,Talcahuano,CL,2020-02-23 17:54:55,-36.72,-73.12,60.8,77,90,4.7,overcast clouds,0.0,0.0
145,Luderitz,NA,2020-02-23 17:51:15,-26.65,15.16,68.49,71,0,27.65,clear sky,0.0,0.0
146,Esperance,AU,2020-02-23 17:52:15,-33.87,121.9,66.2,88,75,10.29,broken clouds,0.0,0.0
147,Virtsu,EE,2020-02-23 17:56:35,58.57,23.51,41.0,80,32,10.29,scattered clouds,0.0,0.0
148,Maneadero,MX,2020-02-23 17:56:35,31.72,-116.57,62.01,79,31,4.0,scattered clouds,0.0,0.0
149,Kasongo-Lunda,CD,2020-02-23 17:56:35,-6.47,16.82,70.99,89,100,5.03,overcast clouds,0.0,0.0
150,Barrow,US,2020-02-23 17:50:02,71.29,-156.79,-29.2,81,75,8.05,broken clouds,0.0,0.0
151,Yantal,RU,2020-02-23 17:56:35,56.85,105.25,12.09,97,95,3.87,light snow,0.25,0.0
152,Aquiraz,BR,2020-02-23 17:56:36,-3.9,-38.39,87.8,66,75,9.17,broken clouds,0.0,0.0
153,Pathein,MM,2020-02-23 17:56:36,16.78,94.73,75.43,68,0,7.49,clear sky,0.0,0.0
154,Raudeberg,NO,2020-02-23 17:56:36,61.99,5.14,35.6,71,40,20.8,light rain,0.0,0.0
155,Iwanai,JP,2020-02-23 17:56:36,42.97,140.51,27.9,78,98,11.95,overcast clouds,0.0,0.0
156,Manzanillo,CU,2020-02-23 17:56:37,20.34,-77.12,86.99,40,6,13.04,clear sky,0.0,0.0
157,Koidu,SL,2020-02-23 17:56:37,8.42,-10.83,94.8,29,23,3.49,few clouds,0.0,0.0
158,Lere,NG,2020-02-23 17:56:37,10.39,8.57,79.75,12,27,7.94,scattered clouds,0.0,0.0
159,Grindavik,IS,2020-02-23 17:56:37,63.84,-22.43,32.0,64,90,17.22,light shower snow,0.0,0.0
160,Progreso,MX,2020-02-23 17:53:02,21.28,-89.67,80.01,50,75,6.93,broken clouds,0.0,0.0
161,Cape Town,ZA,2020-02-23 17:49:33,-33.93,18.42,75.2,44,0,21.92,clear sky,0.0,0.0
162,Skibbereen,IE,2020-02-23 17:56:38,51.55,-9.27,44.6,87,75,4.7,light rain,0.0,0.0
163,Batagay,RU,2020-02-23 17:56:39,67.63,134.63,-12.55,99,95,1.74,overcast clouds,0.0,0.0
164,Kirakira,SB,2020-02-23 17:56:39,-10.45,161.92,77.22,88,1,6.15,clear sky,0.0,0.0
165,The Valley,AI,2020-02-23 17:55:30,18.22,-63.06,86.0,65,20,9.17,few clouds,0.0,0.0
166,San Borja,BO,2020-02-23 17:54:19,-14.82,-66.85,84.16,41,23,5.7,few clouds,0.0,0.0
167,Qandala,SO,2020-02-23 17:56:40,11.47,49.87,74.97,77,30,8.39,scattered clouds,0.0,0.0
168,Bathsheba,BB,2020-02-23 17:52:39,13.22,-59.52,86.0,66,40,16.11,shower rain,0.0,0.0
169,Marsh Harbour,BS,2020-02-23 17:56:40,26.54,-77.06,67.98,65,79,17.81,light rain,0.0,0.13
170,Baherden,TM,2020-02-23 17:56:40,38.44,57.43,56.61,56,2,8.77,clear sky,0.0,0.0
171,Portland,US,2020-02-23 17:54:52,45.52,-122.68,48.2,76,90,14.99,light rain,0.0,0.0
172,Mattru,SL,2020-02-23 17:56:41,7.62,-11.83,87.3,62,37,11.21,scattered clouds,0.0,0.0
173,Necochea,AR,2020-02-23 17:51:56,-38.55,-58.74,90.0,20,0,8.01,clear sky,0.0,0.0
174,Souillac,MU,2020-02-23 17:51:12,-20.52,57.52,78.01,94,75,9.17,shower rain,0.0,0.0
